year,speaker_country,country1,country2,n_speeches,freq1,freq2,score
2018,KWT,ISR,PSE,4,27,12,15.028571428571428
2018,BOL,ISR,PSE,4,20,13,14.992207792207793
2012,TUN,ISR,PSE,4,23,13,14.965384615384616
1999,USA,IRQ,KWT,1,44,9,14.943396226415095
2014,FRA,COG,MLI,3,14,18,14.916083916083917
1996,GNB,AGO,GIN,3,30,10,14.899999999999999
2010,EGY,ISR,PSE,3,43,9,14.875
2015,ZWE,ISR,PSE,4,17,16,14.863636363636363
2019,CHN,ISR,PSE,5,11,24,14.844444444444443
2001,JAM,GIN,LBR,4,15,19,14.823015873015875
1995,DEU,BIH,HRV,4,14,21,14.809523809523808
2008,LBY,ISR,PSE,4,24,13,14.8
2014,BRA,LBN,PSE,3,14,16,14.8
2003,SYR,ISR,LBN,4,57,9,14.769047619047619
2008,BFA,CAF,TCD,4,14,18,14.763636363636364
2014,ARG,ISR,PSE,4,24,11,14.744810744810744
2017,USA,IRN,ISR,4,33,12,14.66984126984127
2017,ITA,ERI,SOM,3,15,15,14.666666666666668
2014,JPN,ISR,PSE,4,14,17,14.657142857142857
2007,GBR,SDN,SOM,4,19,12,14.645238095238096
2008,VNM,ISR,LBN,4,22,11,14.616666666666665
1996,ARE,ISR,LBN,3,16,23,14.610526315789475
2014,CHL,ISR,PSE,4,17,13,14.583333333333332
2017,UKR,CAF,SDN,3,25,11,14.549122807017543
2010,USA,CAF,TCD,3,25,13,14.5
1997,GNB,AGO,GIN,2,29,10,14.461538461538462
2018,SYR,IRQ,LBY,4,19,12,14.457142857142856
1996,IDN,BDI,RWA,3,17,33,14.4375
2006,IRN,LBN,USA,4,29,18,14.43006993006993
2016,VEN,IRQ,YEM,6,14,28,14.4
2008,ZAF,DJI,SOM,3,16,30,14.4
2015,IRN,AFG,PAK,4,72,8,14.397994987468671
2018,SAU,IRN,ISR,4,27,10,14.335858585858585
2008,BEL,SDN,TCD,3,17,13,14.311688311688311
2007,SYR,ISR,LBN,2,25,10,14.285714285714286
2000,COD,BDI,UGA,4,10,32,14.243809523809524
2014,COD,COG,UGA,2,35,9,14.22332506203474
2011,IND,ISR,PSE,4,16,18,14.222527472527473
1996,SDN,EGY,UGA,2,20,13,14.18796992481203
2006,GRC,ISR,LBN,3,16,14,14.178571428571429
2018,DJI,ERI,SOM,2,28,10,14.153846153846153
2014,CUB,ISR,PSE,3,19,12,14.142857142857142
2004,PAK,COG,RWA,2,24,11,14.138157894736842
2015,USA,RUS,UKR,4,10,31,14.129411764705882
2001,COD,BDI,UGA,4,18,15,14.126495726495726
2019,FRA,BFA,MLI,5,13,19,14.123809523809523
2012,IDN,ISR,PSE,3,25,10,14.117647058823529
2008,SYR,ISR,PSE,3,64,8,14.11111111111111
2018,VEN,ISR,PSE,4,24,10,14.077922077922079
1995,FRA,ARE,ISR,3,13,16,14.063865546218487
2018,SYR,RUS,USA,5,12,18,14.057142857142857
2014,BRA,ISR,PSE,3,13,16,14.044444444444444
2015,ESP,ISR,LBN,3,17,12,14.026862026862029
2012,BGD,ISR,PSE,3,12,17,14.004545454545454
2019,KWT,ISR,PSE,4,26,10,14.0
2003,CMR,IRQ,USA,2,24,10,13.991111111111111
1996,USA,ETH,SDN,2,9,32,13.974789915966387
2018,SYR,FRA,LBY,4,17,12,13.955555555555556
2010,FRA,ISR,USA,4,24,10,13.948051948051948
2019,RUS,ISR,USA,4,20,13,13.944444444444443
2003,FRA,BDI,COG,3,11,20,13.942857142857143
2016,IRN,ISR,LBN,3,31,9,13.915384615384614
2018,CHN,AFG,PAK,3,55,8,13.902631578947368
2000,COD,BDI,RWA,4,10,32,13.881481481481481
2001,MYS,ISR,PSE,3,23,10,13.875
2015,SYR,QAT,SAU,4,14,14,13.873015873015873
2019,RUS,SYR,USA,6,14,15,13.866666666666667
2017,ITA,ISR,PSE,5,14,14,13.844444444444445
2018,NLD,BGD,MMR,3,9,34,13.828054298642535
2018,USA,IRN,SAU,3,24,11,13.8
2005,FRA,BDI,COG,2,17,12,13.764705882352942
2019,MYS,ISR,PSE,4,19,11,13.733333333333334
2008,RUS,IRQ,USA,4,26,14,13.671536796536797
2009,FRA,ISR,LBN,3,17,12,13.654545454545453
2018,SWE,BGD,MMR,3,13,16,13.654545454545453
1995,ITA,BIH,HRV,5,14,14,13.644444444444446
