year,mentioned_country,n_meetings,n_speeches,n_mentions,n_speaker_countries,avg_speech_country,avg_speech_meeting,avg_mention_country,avg_mention_meeting,avg_mention_speech,mentioned_member
1995,SEN,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1995,SLE,5,6,18,4,1.5,1.2,4.5,3.6,3.0,G
1995,SLV,8,32,143,20,1.6,4.0,7.15,17.875,4.46875,G
1995,SOM,13,28,57,19,1.4736842105263157,2.1538461538461537,3.0,4.384615384615385,2.0357142857142856,G
1995,SRB,18,93,171,26,3.576923076923077,5.166666666666667,6.576923076923077,9.5,1.8387096774193548,G
1995,SUR,1,1,2,1,1.0,1.0,2.0,2.0,2.0,G
1995,SVK,4,4,4,3,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,G
1995,SVN,4,8,10,3,2.6666666666666665,2.0,3.3333333333333335,2.5,1.25,G
1995,SWE,6,9,10,6,1.5,1.5,1.6666666666666667,1.6666666666666667,1.1111111111111112,G
1995,SWZ,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,SYR,4,5,5,2,2.5,1.25,2.5,1.25,1.0,G
1995,TJK,5,11,18,9,1.2222222222222223,2.2,2.0,3.6,1.6363636363636365,G
1995,TKM,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1995,TTO,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1995,TUN,7,14,18,6,2.3333333333333335,2.0,3.0,2.5714285714285716,1.2857142857142858,G
1995,TUR,15,33,45,9,3.6666666666666665,2.2,5.0,3.0,1.3636363636363635,G
1995,TZA,10,12,13,5,2.4,1.2,2.6,1.3,1.0833333333333333,G
1995,UGA,2,2,2,2,1.0,1.0,1.0,1.0,1.0,G
1995,UKR,11,23,32,7,3.2857142857142856,2.090909090909091,4.571428571428571,2.909090909090909,1.391304347826087,G
1995,URY,2,2,2,2,1.0,1.0,1.0,1.0,1.0,G
1995,USA,78,211,255,43,4.906976744186046,2.7051282051282053,5.930232558139535,3.269230769230769,1.2085308056872037,P
1995,ZAF,9,24,31,14,1.7142857142857142,2.6666666666666665,2.2142857142857144,3.4444444444444446,1.2916666666666667,G
1995,ZMB,5,20,23,17,1.1764705882352942,4.0,1.3529411764705883,4.6,1.15,G
1995,ZWE,6,10,12,4,2.5,1.6666666666666667,3.0,2.0,1.2,G
1996,AFG,15,85,736,35,2.4285714285714284,5.666666666666667,21.02857142857143,49.06666666666667,8.658823529411764,G
1996,AGO,10,161,1052,49,3.2857142857142856,16.1,21.46938775510204,105.2,6.53416149068323,G
1996,ALB,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1996,ARE,4,10,17,3,3.3333333333333335,2.5,5.666666666666667,4.25,1.7,G
1996,ARG,9,15,25,10,1.5,1.6666666666666667,2.5,2.7777777777777777,1.6666666666666667,G
1996,AUS,5,8,12,4,2.0,1.6,3.0,2.4,1.5,G
1996,AUT,3,3,5,3,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,G
1996,BDI,17,97,772,30,3.2333333333333334,5.705882352941177,25.733333333333334,45.411764705882355,7.958762886597938,G
1996,BEL,5,7,11,4,1.75,1.4,2.75,2.2,1.5714285714285714,G
1996,BFA,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,BGD,2,2,2,1,2.0,1.0,2.0,1.0,1.0,G
1996,BGR,13,13,13,2,6.5,1.0,6.5,1.0,1.0,G
1996,BHR,2,2,3,2,1.0,1.0,1.5,1.5,1.5,G
1996,BIH,14,57,257,25,2.28,4.071428571428571,10.28,18.357142857142858,4.508771929824562,G
1996,BRA,8,19,25,8,2.375,2.375,3.125,3.125,1.3157894736842106,G
1996,BWA,25,59,60,36,1.6388888888888888,2.36,1.6666666666666667,2.4,1.0169491525423728,R
1996,CAF,5,6,10,6,1.0,1.2,1.6666666666666667,2.0,1.6666666666666667,G
1996,CAN,12,57,80,21,2.7142857142857144,4.75,3.8095238095238093,6.666666666666667,1.4035087719298245,G
1996,CHE,3,5,6,3,1.6666666666666667,1.6666666666666667,2.0,2.0,1.2,G
1996,CHL,58,85,88,21,4.0476190476190474,1.4655172413793103,4.190476190476191,1.5172413793103448,1.035294117647059,R
1996,CHN,52,71,73,15,4.733333333333333,1.3653846153846154,4.866666666666666,1.4038461538461537,1.028169014084507,P
1996,CIV,1,3,3,1,3.0,3.0,3.0,3.0,1.0,G
1996,CMR,2,3,4,3,1.0,1.5,1.3333333333333333,2.0,1.3333333333333333,G
1996,COG,5,7,10,4,1.75,1.4,2.5,2.0,1.4285714285714286,G
1996,COL,6,13,14,5,2.6,2.1666666666666665,2.8,2.3333333333333335,1.0769230769230769,G
1996,COM,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,CPV,3,5,5,2,2.5,1.6666666666666667,2.5,1.6666666666666667,1.0,G
1996,CRI,5,12,15,7,1.7142857142857142,2.4,2.142857142857143,3.0,1.25,G
1996,CUB,10,27,74,10,2.7,2.7,7.4,7.4,2.740740740740741,G
1996,CYP,2,2,2,1,2.0,1.0,2.0,1.0,1.0,G
1996,CZE,20,23,25,3,7.666666666666667,1.15,8.333333333333334,1.25,1.0869565217391304,G
1996,DEU,62,103,116,29,3.5517241379310347,1.6612903225806452,4.0,1.8709677419354838,1.1262135922330097,R
1996,DJI,7,9,16,5,1.8,1.2857142857142858,3.2,2.2857142857142856,1.7777777777777777,G
1996,DNK,3,3,5,2,1.5,1.0,2.5,1.6666666666666667,1.6666666666666667,G
1996,DZA,15,26,37,8,3.25,1.7333333333333334,4.625,2.466666666666667,1.4230769230769231,G
1996,EGY,64,145,187,31,4.67741935483871,2.265625,6.032258064516129,2.921875,1.289655172413793,R
1996,ERI,5,6,12,3,2.0,1.2,4.0,2.4,2.0,G
1996,ESH,3,3,3,3,1.0,1.0,1.0,1.0,1.0,G
1996,ESP,3,3,5,3,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,G
1996,EST,10,10,10,2,5.0,1.0,5.0,1.0,1.0,G
1996,ETH,10,52,138,19,2.736842105263158,5.2,7.2631578947368425,13.8,2.6538461538461537,G
1996,FIN,2,2,4,2,1.0,1.0,2.0,2.0,2.0,G
1996,FJI,1,2,2,2,1.0,2.0,1.0,2.0,1.0,G
1996,FRA,61,100,110,27,3.7037037037037037,1.639344262295082,4.074074074074074,1.8032786885245902,1.1,P
1996,GAB,1,1,2,1,1.0,1.0,2.0,2.0,2.0,G
1996,GBR,3,3,3,3,1.0,1.0,1.0,1.0,1.0,P
1996,GEO,8,49,194,18,2.7222222222222223,6.125,10.777777777777779,24.25,3.9591836734693877,G
1996,GHA,5,17,21,10,1.7,3.4,2.1,4.2,1.2352941176470589,G
1996,GIN,60,108,139,25,4.32,1.8,5.56,2.316666666666667,1.287037037037037,G
1996,GMB,2,4,5,2,2.0,2.0,2.5,2.5,1.25,G
1996,GNB,6,7,7,5,1.4,1.1666666666666667,1.4,1.1666666666666667,1.0,R
1996,GRC,1,7,9,7,1.0,7.0,1.2857142857142858,9.0,1.2857142857142858,G
1996,GTM,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,GUY,1,1,1,1,1.0,1.0,1.0,1.0,1.0,G
1996,HND,56,72,76,15,4.8,1.2857142857142858,5.066666666666666,1.3571428571428572,1.0555555555555556,R
1996,HRV,18,44,155,20,2.2,2.4444444444444446,7.75,8.61111111111111,3.522727272727273,G
1996,HTI,4,57,430,18,3.1666666666666665,14.25,23.88888888888889,107.5,7.543859649122807,G
1996,HUN,20,22,23,3,7.333333333333333,1.1,7.666666666666667,1.15,1.0454545454545454,G
1996,IDN,50,74,77,25,2.96,1.48,3.08,1.54,1.0405405405405406,R
1996,IND,10,19,28,5,3.8,1.9,5.6,2.8,1.4736842105263157,G
1996,IRL,15,42,57,13,3.230769230769231,2.8,4.384615384615385,3.8,1.3571428571428572,G
1996,IRN,9,20,23,6,3.3333333333333335,2.2222222222222223,3.8333333333333335,2.5555555555555554,1.15,G
1996,IRQ,9,28,132,14,2.0,3.111111111111111,9.428571428571429,14.666666666666666,4.714285714285714,G
