year,speaker_country,mentioned_country,n_meetings,n_speeches,n_mentions,avg_mention_speech,avg_mention_meeting,speaker_member,mentioned_member
1995,HRV,BWA,1,1,1,1.0,1.0,G,R
1995,HRV,CHN,1,1,1,1.0,1.0,G,P
1995,HRV,CZE,1,1,1,1.0,1.0,G,R
1995,HRV,DEU,1,1,1,1.0,1.0,G,R
1995,HRV,DNK,1,1,1,1.0,1.0,G,G
1995,HRV,FRA,1,1,1,1.0,1.0,G,P
1995,HRV,HND,1,1,1,1.0,1.0,G,R
1995,HRV,HRV,10,10,142,14.2,14.2,G,G
1995,HRV,IDN,2,2,2,1.0,1.0,G,R
1995,HRV,ITA,1,1,1,1.0,1.0,G,R
1995,HRV,MNE,7,7,19,2.714,2.714,G,G
1995,HRV,NGA,1,1,1,1.0,1.0,G,R
1995,HRV,OMN,1,1,1,1.0,1.0,G,R
1995,HRV,RUS,3,3,4,1.333,1.333,G,P
1995,HRV,RWA,1,1,1,1.0,1.0,G,R
1995,HRV,SRB,8,8,20,2.5,2.5,G,G
1995,HRV,USA,2,2,7,3.5,3.5,G,P
1995,HTI,ARG,1,1,1,1.0,1.0,G,R
1995,HTI,HTI,2,2,19,9.5,9.5,G,G
1995,HTI,USA,1,1,1,1.0,1.0,G,P
1995,HUN,FRA,1,1,1,1.0,1.0,G,P
1995,HUN,HUN,2,2,7,3.5,3.5,G,G
1995,HUN,MNE,1,1,1,1.0,1.0,G,G
1995,HUN,RUS,1,1,1,1.0,1.0,G,P
1995,HUN,SRB,1,1,1,1.0,1.0,G,G
1995,HUN,USA,1,1,1,1.0,1.0,G,P
1995,IDN,AFG,1,1,2,2.0,2.0,R,G
1995,IDN,AGO,2,4,20,5.0,10.0,R,G
1995,IDN,ARG,7,9,12,1.333,1.714,R,R
1995,IDN,BDI,3,5,27,5.4,9.0,R,G
1995,IDN,BIH,19,22,84,3.818,4.421,R,G
1995,IDN,BRA,1,3,4,1.333,4.0,R,G
1995,IDN,BWA,6,7,7,1.0,1.167,R,R
1995,IDN,CAF,1,1,4,4.0,4.0,R,G
1995,IDN,CHN,6,7,7,1.0,1.167,R,P
1995,IDN,CZE,6,9,9,1.0,1.5,R,R
1995,IDN,DEU,6,8,8,1.0,1.333,R,R
1995,IDN,FRA,7,10,10,1.0,1.429,R,P
1995,IDN,GEO,2,2,13,6.5,6.5,R,G
1995,IDN,GHA,1,1,1,1.0,1.0,R,G
1995,IDN,HND,6,8,8,1.0,1.333,R,R
1995,IDN,HRV,12,14,42,3.0,3.5,R,G
1995,IDN,HTI,1,1,21,21.0,21.0,R,G
1995,IDN,IDN,41,46,67,1.457,1.634,R,R
1995,IDN,IRQ,1,1,10,10.0,10.0,R,G
1995,IDN,ISR,3,3,15,5.0,5.0,R,G
1995,IDN,ITA,8,11,11,1.0,1.375,R,R
1995,IDN,KAZ,1,1,1,1.0,1.0,R,G
1995,IDN,KHM,1,1,1,1.0,1.0,R,G
